Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
11/17/2017,13:00,2.77,5.14,,,,,14.91,60.0,0.62,115.73,29.35,63.01,662.11,1009.6,,
11/26/2015,24:00:00,58.34,26.76,2.11,2.04,0.15,,80.44,213.08,0.47,241.85,21.13,77.95,7.38,1009.97,,
12/09/2017,21:00,3.71,7.61,,,,,13.97,33.56,1.72,50.67,20.09,99.18,7.53,1013.43,0.11,
9/30/2014,06:00,3.09,11.7,2.0,2.18,4.87,5.19,33.42,71.91,1.41,42.86,25.21,87.31,12.74,1008.96,,
11/10/2013,23:00,8.55,10.5,3.84,3.04,4.51,9.85,,122.59,0.79,40.6,23.99,81.38,7.71,,,
5/26/2014,24:00:00,2.94,11.49,0.37,0.43,,,,59.09,3.63,208.62,29.75,85.79,6.63,,0.02,
12/25/2012,23:00,3.13,3.29,6.3,6.27,10.71,13.23,104.88,125.38,3.41,,14.6,96.21,7.15,1096.08,0.02,1.51
05/02/2014,02:00,0.56,3.41,2.81,3.4,,0.06,79.0,121.6,10.18,178.18,24.57,87.06,5.14,,1.51,
4/20/2018,20:00,2.91,8.55,,,,,22.13,56.66,1.64,54.47,24.06,89.21,7.18,1005.71,3.3,
05/05/2018,05:00,2.28,3.46,,,,,6.97,12.02,0.6,92.01,21.8,95.1,7.7,1006.88,0.42,
8/15/2018,06:00,3.38,4.9,,,2.19,2.58,4.03,27.0,0.42,99.09,27.59,91.05,23.27,999.91,0.03,
15/02/2018,08:00,8.29,9.94,,,,,81.63,112.66,0.47,62.67,18.16,90.47,118.07,1017.66,,
4/19/2014,24:00:00,2.49,20.6,2.89,2.97,9.83,18.22,46.24,89.11,1.04,280.72,27.69,67.1,7.52,,,
1/22/2019,03:00,8.08,15.87,0.53,2.15,5.13,4.64,63.69,111.66,0.61,65.4,17.24,80.45,8.07,1014.25,,
11/29/2017,19:00,13.15,18.45,,,,,174.06,294.41,0.33,262.53,22.95,76.46,8.15,1012.5,,
2/23/2014,19:00,,21.55,5.75,2.78,9.43,24.27,141.24,217.64,2.25,242.26,23.91,71.67,7.5,,,
12/21/2014,19:00,11.28,39.73,2.46,1.74,5.54,17.6,70.43,154.1,0.63,323.83,21.97,54.07,7.53,1011.82,,
7/23/2018,04:00,5.45,5.18,,,,,17.71,44.33,0.43,40.43,27.02,89.85,7.54,1000.23,0.02,
07/07/2013,03:00,12.5,4.97,1.56,1.83,1.87,1.73,31.27,61.08,1.89,100.86,27.68,91.57,7.26,1084.6,0.02,2.11
01/10/2013,16:00,4.36,6.37,1.22,1.19,15.6,16.64,183.37,259.2,3.95,24.53,14.95,74.08,185.23,1094.61,0.03,1.39
7/23/2017,10:00,3.25,2.46,,,,,3.14,20.22,2.19,4.53,30.01,77.25,414.48,1000.89,,
